project,Region,country,Status(as of 2025.1Q),Extraction Type,Resource,Total_Cash_Cost,Capacity,Cost_Quartile
Sandawana,Africa,Zimbabwe,Existing operations,Open pit,Pegmatite,16006.15994063906,6.0,Q4 (High Cost)
Kenticha,Africa,Ethiopia,Speculative projects,Open pit,Pegmatite,16054.376667805582,0.0,Q4 (High Cost)
Hell's Kitchen,North America,United States,Speculative projects,Direct Extraction,Brine,16174.037346826019,10.0,Q4 (High Cost)
Blesberg,Africa,South Africa,Existing operations,Tailings,Pegmatite,16179.75232837052,3.0,Q4 (High Cost)
Georgia Lake,North America,Canada,Speculative projects,"Open pit, Underground",Pegmatite,16281.62133206422,14.72,Q4 (High Cost)
Georgia Lake,North America,Canada,Speculative projects,Open pit,Pegmatite,16281.621332064224,14.72,Q4 (High Cost)
Karibib Phase 2,Africa,Namibia,Speculative projects,Open pit,Pegmatite,16517.03913553452,5.52,Q4 (High Cost)
Moblan,North America,Canada,Speculative projects,Open pit,Pegmatite,16580.0225,18.0,Q4 (High Cost)
Thacker Pass Phase 2,North America,United States,Speculative projects,Open pit,Sedimentary,16674.31344115668,10.0,Q4 (High Cost)
Clayton Valley I,North America,United States,Possible projects,Open pit,Sedimentary,16815.71237883658,7.0,Q4 (High Cost)
Zulu,Africa,Zimbabwe,Existing operations,Open pit,Pegmatite,16979.237684264386,7.42,Q4 (High Cost)
Ewoyaa,Africa,Ghana,Probable projects,Open pit,Pegmatite,17106.5,20.0,Q4 (High Cost)
Fish Lake Valley,North America,United States,Speculative projects,Direct Extraction,Brine,17164.25427243777,0.0,Q4 (High Cost)
Trelavour,Europe,United Kingdom,Speculative projects,Open pit,Pegmatite,17234.533685617218,6.87,Q4 (High Cost)
North Big Smoky,North America,United States,Speculative projects,Evaporation,Brine,17418.27434010087,0.0,Q4 (High Cost)
Alkali Lake Valley,North America,United States,Speculative projects,Evaporation,Brine,17418.27434010087,0.0,Q4 (High Cost)
Tonopah I,North America,United States,Speculative projects,Evaporation,Brine,17418.27434010087,0.0,Q4 (High Cost)
Bikita,Africa,Zimbabwe,Existing operations,Open pit,Pegmatite,17830.77793135788,66.0,Q4 (High Cost)
Bougoni,Africa,Mali,Existing operations,Open pit,Pegmatite,17898.38382052076,17.68,Q4 (High Cost)
Salar del Rincón I,South America,Argentina,Existing operations,Evaporation,Brine,17947.0,2.0,Q4 (High Cost)
Rose,North America,Canada,Speculative projects,Open pit,Pegmatite,18344.556863706996,8.7,Q4 (High Cost)
Cinovec,Europe,Czech Republic,Speculative projects,Underground,Pegmatite,18871.087395672588,0.0,Q4 (High Cost)
Prairie,North America,Canada,Speculative projects,Direct Extraction,Brine,18949.759742635022,2.0,Q4 (High Cost)
Clayton Valley II,North America,United States,Speculative projects,Direct Extraction,Brine,19120.04810794624,10.0,Q4 (High Cost)
Uis II,Africa,Namibia,Speculative projects,Open pit,Pegmatite,19134.83115282023,0.0,Q4 (High Cost)
EuGeLi,Europe,France,Speculative projects,Direct Extraction,Brine,19175.18809970298,10.0,Q4 (High Cost)
